zaman,ivme_x,ivme_y,ivme_z,etiket
1777036006.3348925,-0.39,0.10,-0.03,1
1777036006.3545892,-0.04,0.00,-0.08,1
1777036006.3757782,0.09,0.00,-0.06,1
1777036006.3968277,-0.15,0.00,-0.01,1
1777036006.4180086,-0.12,-0.07,-0.11,1
1777036006.439947,0.05,-0.14,-0.07,1
1777036006.4602108,0.26,-0.03,0.00,1
1777036006.4828131,-0.02,0.08,-0.02,1
1777036006.503215,-0.26,0.12,-0.14,1
1777036006.5248456,-0.20,0.04,0.07,1
1777036006.5450964,0.11,-0.21,0.01,1
1777036006.5670903,0.40,-0.13,-0.19,1
1777036006.587824,0.06,0.05,-0.13,1
1777036006.6080112,-0.40,0.20,-0.02,1
1777036006.6305032,-0.21,0.25,0.03,1
1777036006.6513786,0.09,-0.06,-0.04,1
1777036006.6776764,-0.27,-0.31,-0.13,1
1777036006.697998,-0.23,-0.20,-0.13,1
1777036006.7191234,0.00,0.03,-0.10,1
1777036006.741459,0.07,0.17,-0.05,1
1777036006.762204,-0.19,0.06,-0.10,1
1777036006.7845533,-0.46,0.00,0.00,1
1777036006.8060088,-0.20,-0.22,-0.03,1
1777036006.8266494,0.23,0.01,-0.08,1
1777036006.8479214,-0.08,0.15,-0.06,1
1777036006.868229,-0.27,0.31,-0.01,1
1777036006.8897135,-0.24,0.16,0.00,1
1777036006.910898,0.05,-0.07,-0.09,1
1777036006.932727,0.03,-0.02,-0.08,1
1777036006.9534883,-0.13,0.17,-0.09,1
1777036006.975748,-0.10,0.17,-0.08,1
1777036006.9960783,-0.03,0.07,-0.11,1
1777036007.0180776,-0.12,-0.01,-0.04,1
1777036007.038469,-0.22,-0.05,-0.08,1
1777036007.0600328,-0.31,-0.20,-0.03,1
1777036007.080823,-0.39,-0.03,0.00,1
1777036007.1014364,-0.34,0.19,-0.02,1
1777036007.1368306,-0.26,0.14,-0.02,1
1777036007.1458516,0.17,0.08,-0.06,1
1777036007.166788,0.31,-0.02,0.03,1
1777036007.1868422,0.28,0.02,0.01,1
1777036007.208032,0.18,-0.03,-0.05,1
1777036007.2451355,0.08,-0.38,-0.04,1
1777036007.2581143,0.30,-0.44,-0.12,1
1777036007.2771738,0.14,-0.15,-0.14,1
1777036007.2947354,-0.47,0.09,0.16,1
1777036007.3153398,-0.42,0.05,-0.13,1
1777036007.3389308,-0.26,0.27,-0.12,1
1777036007.3578405,0.03,0.17,-0.02,1
1777036007.3784628,-0.19,0.30,-0.11,1
1777036007.3995454,-0.12,0.04,-0.06,1
1777036007.4207802,0.06,-0.17,0.01,1
1777036007.4428425,-0.03,-0.20,-0.09,1
1777036007.4635613,-0.13,0.14,-0.14,1
1777036007.4857936,-0.27,0.22,-0.03,1
1777036007.5069706,-0.27,0.00,0.05,1
1777036007.5278866,0.10,0.15,-0.08,1
1777036007.5483553,0.17,0.02,0.04,1
1777036007.569878,-0.25,-0.07,0.06,1
1777036007.5909746,-0.46,-0.18,0.19,1
1777036007.611488,0.03,0.20,-0.10,1
1777036007.6334586,0.47,0.16,-0.17,1
1777036007.6541126,0.39,-0.11,-0.04,1
1777036007.6767664,0.01,-0.12,0.01,1
1777036007.6983714,-0.47,0.18,-0.13,1
1777036007.718934,-0.12,-0.15,0.00,1
1777036007.7390027,0.05,-0.16,-0.08,1
1777036007.760474,-0.02,0.14,-0.12,1
1777036007.781395,-0.21,0.07,-0.04,1
1777036007.8031762,-0.18,-0.03,-0.01,1
1777036007.8241653,-0.15,0.02,-0.10,1
1777036007.8469393,0.00,-0.01,-0.06,1
1777036007.8680546,-0.06,0.09,-0.08,1
1777036007.889116,-0.12,0.23,-0.02,1
1777036007.909693,0.12,0.00,-0.03,1
1777036007.930215,0.08,-0.15,-0.03,1
1777036007.9541197,0.08,-0.10,-0.08,1
1777036007.9739294,0.00,0.25,-0.04,1
1777036007.995057,-0.03,0.34,-0.05,1
1777036008.015609,0.02,0.25,-0.03,1
1777036008.0381043,-0.18,-0.13,-0.06,1
1777036008.0585117,0.01,-0.32,-0.17,1
1777036008.0798516,-0.09,-0.03,-0.18,1
1777036008.1011624,-0.27,0.04,-0.06,1
1777036008.1215224,-0.20,0.02,-0.13,1
1777036008.142938,-0.11,-0.02,-0.07,1
1777036008.1637733,-0.15,-0.04,-0.10,1
1777036008.1852229,0.00,0.08,-0.02,1
1777036008.2067628,-0.09,0.13,0.00,1
1777036008.2284894,-0.08,0.12,0.04,1
1777036008.2497516,0.25,0.00,-0.05,1
1777036008.2699385,0.13,0.06,-0.01,1
1777036008.2919967,-0.21,0.05,-0.01,1
1777036008.3124177,0.04,0.08,0.00,1
1777036008.3343425,0.36,0.10,-0.07,1
1777036008.354256,0.08,0.04,-0.05,1
1777036008.3766155,-0.34,-0.10,-0.04,1
1777036008.3983843,-0.63,-0.16,-0.15,1
1777036008.4194312,-0.14,-0.06,-0.14,1
1777036008.4404786,-0.18,-0.10,-0.08,1
1777036008.4615362,-0.38,-0.01,-0.04,1
1777036008.483221,-0.14,0.06,-0.07,1
1777036008.5034065,0.16,0.04,-0.02,1
1777036008.5254827,0.02,0.01,-0.04,1
1777036008.5473788,-0.12,0.10,0.06,1
1777036008.5692334,-0.05,0.04,0.00,1
1777036008.590182,0.41,0.09,0.00,1
1777036008.610921,0.04,0.00,-0.03,1
1777036008.6331146,-0.31,0.10,-0.06,1
1777036008.653188,-0.19,-0.04,-0.13,1
1777036008.680175,-0.14,-0.20,-0.13,1
1777036008.7015688,-0.04,-0.12,-0.14,1
1777036008.722481,-0.19,0.06,-0.10,1
1777036008.743793,-0.38,-0.03,-0.15,1
1777036008.7645895,-0.38,0.12,-0.03,1
1777036008.7867963,-0.02,0.13,-0.05,1
1777036008.8076162,0.24,0.06,-0.05,1
1777036008.8298469,0.01,0.10,0.01,1
1777036008.8507557,-0.12,0.14,-0.05,1
1777036008.8724694,0.03,0.16,-0.10,1
1777036008.8928914,0.11,0.00,0.04,1
1777036008.9149387,0.13,-0.19,-0.10,1
1777036008.9366984,0.06,-0.23,-0.29,1
1777036008.9555092,0.00,-0.17,0.11,1
1777036008.9785585,0.00,0.18,0.10,1
1777036009.0002823,-0.22,0.44,-0.26,1
1777036009.0222244,-0.24,-0.04,-0.11,1
1777036009.0420132,0.00,-0.06,-0.01,1
1777036009.064491,-0.45,-0.07,-0.29,1
1777036009.0868871,-0.54,-0.16,-0.19,1
