zaman,ivme_x,ivme_y,ivme_z,etiket
1777035824.911679,0.41,-0.29,0.01,0
1777035824.9320014,0.57,-0.22,-0.02,0
1777035824.9551916,-0.18,-0.05,-0.23,0
1777035824.971822,-0.57,0.02,-0.21,0
1777035824.9969509,-0.09,0.00,-0.06,0
1777035825.0168324,0.06,0.07,-0.09,0
1777035825.0402505,0.39,-0.03,0.01,0
1777035825.0617368,0.11,0.11,-0.12,0
1777035825.0815637,-0.09,-0.17,-0.07,0
1777035825.1041129,-0.10,-0.18,-0.02,0
1777035825.124204,-0.30,-0.12,-0.10,0
1777035825.1462975,-0.49,-0.26,0.07,0
1777035825.166559,-0.22,-0.08,-0.05,0
1777035825.18879,0.11,0.13,-0.12,0
1777035825.2102728,0.43,0.01,0.00,0
1777035825.231705,0.56,-0.04,-0.11,0
1777035825.2540116,0.27,0.03,-0.20,0
1777035825.2744493,-0.02,-0.02,-0.15,0
1777035825.2948983,-0.11,-0.09,-0.13,0
1777035825.312767,-0.14,0.02,-0.04,0
1777035825.3366127,0.00,0.00,-0.03,0
1777035825.3581645,0.07,-0.08,0.00,0
1777035825.3770409,0.18,-0.03,-0.05,0
1777035825.3994706,0.00,0.03,-0.01,0
1777035825.421902,-0.29,0.01,-0.01,0
1777035825.444511,0.09,-0.01,-0.03,0
1777035825.4620452,0.53,-0.08,-0.10,0
1777035825.4859304,0.26,-0.07,-0.08,0
1777035825.5067973,0.00,-0.11,-0.10,0
1777035825.5280886,-0.07,-0.05,-0.07,0
1777035825.5483592,0.21,0.08,-0.14,0
1777035825.5699265,0.01,0.11,-0.03,0
1777035825.5915759,-0.20,0.03,-0.15,0
1777035825.6123562,-0.21,0.06,-0.13,0
1777035825.631814,0.01,-0.03,-0.06,0
1777035825.655855,0.16,0.06,-0.14,0
1777035825.6765683,0.28,0.06,-0.07,0
1777035825.6935549,0.36,0.01,0.00,0
1777035825.718707,0.05,-0.09,-0.05,0
1777035825.7416794,-0.50,0.01,-0.03,0
1777035825.7619755,-0.48,0.07,-0.07,0
1777035825.7817876,0.00,-0.06,-0.06,0
1777035825.8058531,0.43,-0.19,-0.11,0
1777035825.8257718,0.19,-0.21,-0.06,0
1777035825.8470216,-0.16,-0.14,-0.18,0
1777035825.867289,-0.31,-0.18,-0.09,0
1777035825.8884795,-0.10,-0.09,-0.13,0
1777035825.9105742,0.21,0.09,-0.04,0
1777035825.931758,0.26,0.04,-0.01,0
1777035825.9541552,0.13,0.02,-0.03,0
1777035825.9749422,-0.01,0.01,-0.08,0
1777035825.9920232,0.00,-0.01,-0.08,0
1777035826.011759,-0.09,-0.13,-0.15,0
1777035826.0380647,-0.13,-0.11,-0.12,0
